,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
80,2016,36.535506084,NE.EXP.GNFS.ZS,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
81,2017,35.7530935206,NE.EXP.GNFS.ZS,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
82,2018,35.524366972,NE.EXP.GNFS.ZS,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
83,2019,36.6201692034,NE.EXP.GNFS.ZS,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
84,2020,29.6284095367,NE.EXP.GNFS.ZS,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
85,2016,62.5093471232,NE.EXP.GNFS.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
86,2017,66.7896002012,NE.EXP.GNFS.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
87,2018,70.4550452625,NE.EXP.GNFS.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
88,2019,65.094583993,NE.EXP.GNFS.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
89,2020,61.0121492643,NE.EXP.GNFS.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
90,2021,72.1107921896,NE.EXP.GNFS.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
91,2016,79.429615474,NE.EXP.GNFS.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
92,2017,83.18241025,NE.EXP.GNFS.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
93,2018,83.0246231349,NE.EXP.GNFS.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
94,2019,82.1741393266,NE.EXP.GNFS.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
95,2020,80.0420378275,NE.EXP.GNFS.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
96,2021,85.3509168677,NE.EXP.GNFS.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
97,2016,51.9636576006,NE.EXP.GNFS.ZS,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
98,2017,54.7290550836,NE.EXP.GNFS.ZS,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
99,2018,57.2063521715,NE.EXP.GNFS.ZS,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
100,2019,59.6504233121,NE.EXP.GNFS.ZS,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
101,2020,43.5599271204,NE.EXP.GNFS.ZS,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
102,2021,51.4874289736,NE.EXP.GNFS.ZS,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
103,2016,27.6067880712,NE.EXP.GNFS.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
104,2017,27.2055947819,NE.EXP.GNFS.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
105,2018,27.2742306189,NE.EXP.GNFS.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
106,2019,29.6305271935,NE.EXP.GNFS.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
107,2020,19.8724704277,NE.EXP.GNFS.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
108,2016,49.3300565761,NE.EXP.GNFS.ZS,BMU,Bermuda,North America,High income,Not classified
109,2017,48.5381492502,NE.EXP.GNFS.ZS,BMU,Bermuda,North America,High income,Not classified
110,2018,51.2581205282,NE.EXP.GNFS.ZS,BMU,Bermuda,North America,High income,Not classified
111,2019,50.6492722738,NE.EXP.GNFS.ZS,BMU,Bermuda,North America,High income,Not classified
112,2020,49.586219143,NE.EXP.GNFS.ZS,BMU,Bermuda,North America,High income,Not classified
113,2021,49.17030321,NE.EXP.GNFS.ZS,BMU,Bermuda,North America,High income,Not classified
114,2016,29.6169744797,NE.EXP.GNFS.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
115,2017,30.0831893768,NE.EXP.GNFS.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
116,2018,30.8177060149,NE.EXP.GNFS.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
117,2019,33.9390638133,NE.EXP.GNFS.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
118,2020,29.7888529239,NE.EXP.GNFS.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
119,2016,24.4880055394,NE.EXP.GNFS.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
120,2017,24.9041443676,NE.EXP.GNFS.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
121,2018,25.9887950589,NE.EXP.GNFS.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
122,2019,24.967262284,NE.EXP.GNFS.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
123,2020,20.2725897857,NE.EXP.GNFS.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
124,2021,27.823902019,NE.EXP.GNFS.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
125,2016,36.3417646648,NE.EXP.GNFS.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
126,2017,40.8725314552,NE.EXP.GNFS.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
127,2018,42.6093499163,NE.EXP.GNFS.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
128,2019,40.5701201212,NE.EXP.GNFS.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
129,2020,34.5245632902,NE.EXP.GNFS.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
130,2021,44.949569575,NE.EXP.GNFS.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
131,2016,54.6113508115,NE.EXP.GNFS.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
132,2017,42.9647361292,NE.EXP.GNFS.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
133,2018,44.5357869252,NE.EXP.GNFS.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
134,2019,37.1543108714,NE.EXP.GNFS.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
135,2020,31.3537209304,NE.EXP.GNFS.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
136,2016,12.4666790441,NE.EXP.GNFS.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
137,2017,12.5189678701,NE.EXP.GNFS.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
138,2018,14.634999495,NE.EXP.GNFS.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
139,2019,14.1229191905,NE.EXP.GNFS.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
140,2020,16.7950684327,NE.EXP.GNFS.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
141,2021,20.0972752065,NE.EXP.GNFS.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
142,2016,49.5769062738,NE.EXP.GNFS.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
143,2017,49.5732416989,NE.EXP.GNFS.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
144,2018,51.9322763783,NE.EXP.GNFS.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
145,2019,57.9460405381,NE.EXP.GNFS.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
146,2020,57.3561113889,NE.EXP.GNFS.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
147,2021,80.1689108582,NE.EXP.GNFS.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
148,2016,63.8704805493,NE.EXP.GNFS.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
149,2017,66.994595644,NE.EXP.GNFS.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
150,2018,65.695966426,NE.EXP.GNFS.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
151,2019,63.9343433468,NE.EXP.GNFS.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
152,2020,55.3232894005,NE.EXP.GNFS.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
153,2021,63.0335921887,NE.EXP.GNFS.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
154,2016,25.9159648043,NE.EXP.GNFS.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
155,2017,26.4523856351,NE.EXP.GNFS.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
156,2018,28.0789061419,NE.EXP.GNFS.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
157,2019,27.6161121176,NE.EXP.GNFS.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
158,2016,6.3845221898,NE.EXP.GNFS.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
159,2017,6.0265743287,NE.EXP.GNFS.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
160,2018,5.6856543143,NE.EXP.GNFS.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
161,2019,5.1720368385,NE.EXP.GNFS.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
162,2020,4.5493226955,NE.EXP.GNFS.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
163,2021,5.0002938412,NE.EXP.GNFS.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
164,2016,44.2296890031,NE.EXP.GNFS.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
165,2017,45.9228129648,NE.EXP.GNFS.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
166,2018,48.9526443749,NE.EXP.GNFS.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
167,2019,50.6492920155,NE.EXP.GNFS.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
168,2020,24.8509820217,NE.EXP.GNFS.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
169,2021,24.6163254692,NE.EXP.GNFS.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
170,2016,61.2815249295,NE.EXP.GNFS.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
171,2017,60.6819578072,NE.EXP.GNFS.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
172,2018,61.5957275118,NE.EXP.GNFS.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
173,2019,61.0912965228,NE.EXP.GNFS.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
174,2020,61.041816356,NE.EXP.GNFS.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
175,2021,64.6024630702,NE.EXP.GNFS.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
176,2016,18.949978756,NE.EXP.GNFS.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
177,2017,18.351098583,NE.EXP.GNFS.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
178,2018,18.736253469,NE.EXP.GNFS.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
179,2019,19.8500907473,NE.EXP.GNFS.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
180,2020,15.035069127,NE.EXP.GNFS.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
181,2021,17.7667402795,NE.EXP.GNFS.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
182,2016,31.5025724093,NE.EXP.GNFS.ZS,CAN,Canada,North America,High income,Not classified
183,2017,31.454410151,NE.EXP.GNFS.ZS,CAN,Canada,North America,High income,Not classified
184,2018,32.2801824239,NE.EXP.GNFS.ZS,CAN,Canada,North America,High income,Not classified
185,2019,31.9085326229,NE.EXP.GNFS.ZS,CAN,Canada,North America,High income,Not classified
186,2020,29.3634480171,NE.EXP.GNFS.ZS,CAN,Canada,North America,High income,Not classified
187,2021,30.6905379041,NE.EXP.GNFS.ZS,CAN,Canada,North America,High income,Not classified
188,2017,74.0218172352,NE.EXP.GNFS.ZS,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
189,2018,71.5878490455,NE.EXP.GNFS.ZS,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
190,2019,69.4537434443,NE.EXP.GNFS.ZS,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
191,2020,60.1287466784,NE.EXP.GNFS.ZS,CYM,Cayman Islands,Latin America & Caribbean ,High income,Not classified
192,2016,14.8218796578,NE.EXP.GNFS.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
193,2017,17.25977376,NE.EXP.GNFS.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
194,2018,15.9400300008,NE.EXP.GNFS.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
195,2019,15.7553800018,NE.EXP.GNFS.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
196,2020,15.1724799997,NE.EXP.GNFS.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
197,2021,14.1864800005,NE.EXP.GNFS.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
198,2016,26.2950367647,NE.EXP.GNFS.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
199,2017,33.8729624846,NE.EXP.GNFS.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
200,2018,36.1906824486,NE.EXP.GNFS.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
201,2019,36.7422534364,NE.EXP.GNFS.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
202,2020,26.7161490488,NE.EXP.GNFS.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
203,2021,38.7501272511,NE.EXP.GNFS.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
204,2016,27.9231581098,NE.EXP.GNFS.ZS,CHL,Chile,Latin America & Caribbean ,High income,IBRD
205,2017,28.3313768342,NE.EXP.GNFS.ZS,CHL,Chile,Latin America & Caribbean ,High income,IBRD
206,2018,28.5290447398,NE.EXP.GNFS.ZS,CHL,Chile,Latin America & Caribbean ,High income,IBRD
207,2019,27.8341315903,NE.EXP.GNFS.ZS,CHL,Chile,Latin America & Caribbean ,High income,IBRD
208,2020,31.5335344517,NE.EXP.GNFS.ZS,CHL,Chile,Latin America & Caribbean ,High income,IBRD
209,2021,31.8908030492,NE.EXP.GNFS.ZS,CHL,Chile,Latin America & Caribbean ,High income,IBRD
210,2016,19.5843800536,NE.EXP.GNFS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
211,2017,19.6922769882,NE.EXP.GNFS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
212,2018,19.1121035364,NE.EXP.GNFS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
213,2019,18.4099923155,NE.EXP.GNFS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
214,2020,18.5410600111,NE.EXP.GNFS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
215,2021,20.0098140678,NE.EXP.GNFS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
216,2016,14.7171392782,NE.EXP.GNFS.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
217,2017,15.1452897484,NE.EXP.GNFS.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
218,2018,15.8997196775,NE.EXP.GNFS.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
219,2019,15.8680386541,NE.EXP.GNFS.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
220,2020,13.4908818196,NE.EXP.GNFS.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
221,2021,16.3114647677,NE.EXP.GNFS.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
222,2016,10.6728955769,NE.EXP.GNFS.ZS,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
223,2017,11.9013164485,NE.EXP.GNFS.ZS,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
224,2018,12.9090229891,NE.EXP.GNFS.ZS,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
225,2019,12.7734606325,NE.EXP.GNFS.ZS,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
226,2020,5.6272514982,NE.EXP.GNFS.ZS,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
227,2021,6.6091358515,NE.EXP.GNFS.ZS,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
228,2016,32.787860283,NE.EXP.GNFS.ZS,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
229,2017,30.690154564,NE.EXP.GNFS.ZS,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
230,2018,33.8073501776,NE.EXP.GNFS.ZS,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
231,2019,25.7562387019,NE.EXP.GNFS.ZS,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
232,2020,28.6045874477,NE.EXP.GNFS.ZS,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
233,2021,40.1257634312,NE.EXP.GNFS.ZS,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
234,2016,44.9994634934,NE.EXP.GNFS.ZS,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
235,2017,58.0645475863,NE.EXP.GNFS.ZS,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
